,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
87,87,Buala,-8.145,159.5921,79.88,84,99,10.36,SB,1613224927,Ghaseali Island Resort
89,89,Obong,9.741,123.5098,79.36,81,100,3.15,PH,1613224927,Seaview Mansion Dalaguete
94,94,Chui,-33.6971,-53.4616,74.98,84,100,7.83,UY,1613224928,Bertelli Chuí Hotel
96,96,Castro,-24.7911,-50.0119,74.23,71,3,5.82,BR,1613224928,Pousada Rota Dos Tropeiros
97,97,Faya,18.3851,42.4509,68.0,49,20,11.5,SA,1613224928,
99,99,Vadamadurai,10.4667,78.0833,77.25,37,6,4.21,IN,1613224928,
102,102,Chintamani,13.4,78.0667,78.8,14,60,4.61,IN,1613224928,
103,103,São Filipe,14.8961,-24.4956,75.52,57,0,13.15,CV,1613224928,Hotel Xaguate
107,107,Agüimes,27.9054,-15.4461,70.0,60,20,26.46,ES,1613224929,HC Luxe
115,115,Hilo,19.7297,-155.09,66.2,72,90,3.49,US,1613224787,Hilo Hawaiian Hotel
118,118,Dumabato,16.3167,121.7,69.98,91,98,2.15,PH,1613224929,VillaCaridad Hotel
120,120,Vao,-22.6667,167.4833,79.0,78,0,5.17,NC,1613224930,ILE DES PINS HOTELS
121,121,Vung Tau,10.345999999999998,107.0843,73.6,80,0,20.2,VN,1613224913,The IMPERIAL Hotel
